CdAbi,CdCab,cabSportello,cabLocalita,cabProv,ANKEY,cabFiliale
,,,NULL,NULL,,NULL
00000,,,NULL,NULL,,NULL
00000,00000,,NULL,NULL,00000,NULL
00701,02400,,NULL,NULL,02400,NULL
01005,,,NULL,NULL,,NULL
01005,00000,,NULL,NULL,00000,NULL
01005,00944,"CASALECCHIO DI RENO",BOLOGNA,BO,0100500944,0944
01005,01000,DIP.IMOLA,IMOLA,BO,0100501000,1000
01005,01406,"VIA TORTI (GENOVA)",GENOVA,GE,0100501406,1406
01005,01412,AG.GENOVA,GENOVA,GE,0100501412,1412
01005,01576,AG.RIVAROLO,GENOVA,GE,0100501576,1576
01005,01601,"FIL.CORSO XII MARZO",MILANO,MI,0100501601,1601
01005,01612,AG.FILZI,MILANO,MI,0100501612,1612
01005,01615,"AG.PIAZZA NAPOLI",MILANO,MI,0100501615,1615
01005,01616,"AG.N.16 MILANO",MILANO,MI,0100501616,1616
01005,02000,FIL.VENEZIA,VENEZIA,VE,0100502000,2000
01005,02400,"DIP. DI BOLOGNA",BOLOGNA,BO,0100502400,2400
01005,02402,"AG. VIA SAFFI",BOLOGNA,BO,0100502402,2402
01005,02403,"AG. VIA MARCONI",BOLOGNA,BO,0100502403,2403
01005,02404,"AG. P.ZZA UNITA'1",BOLOGNA,BO,0100502404,2404
01005,02406,"AG.VIA LOMBARDIA",BOLOGNA,BO,0100502406,2406
01005,02407,"AG.VIA MALVOLTI",BOLOGNA,BO,0100502407,2407
01005,02408,"FIL. VIA BERTINI 1",BOLOGNA,BO,0100502408,2408
01005,02410,"BOLOGNA AG.9",BOLOGNA,BO,0100502410,2410
01005,02411,"BOLOGNA AG.10",BOLOGNA,BO,0100502411,2411
01005,02412,"VIA EMILIA PONENTE",BOLOGNA,BO,0100502412,2412
01005,02420,"FIL.N.467 VIA E.LEVA",BOLOGNA,BO,0100502420,2420
01005,02598,"AG.VIA MASSARENTI 22",BOLOGNA,BO,0100502598,2598
01005,02599,SPORT.AUTOSTAZIONE,BOLOGNA,BO,0100502599,2599
01005,02800,"AG.P.ZA DELLA REPUB.",FIRENZE,FI,0100502800,2800
01005,02801,AG.FIRENZE,FIRENZE,FI,0100502801,2801
01005,03201,"P.ZZA EMANUELE",ROMA,RM,0100503201,3201
01005,03205,"AG.N.5 ROMA",ROMA,RM,0100503205,3205
01005,03210,"AG.10 ROMA",ROMA,RM,0100503210,3210
01005,03211,"AG.11 ROMA",ROMA,RM,0100503211,3211
01005,03216,"ROMA AG.N.16",ROMA,RM,0100503216,3216
01005,03217,"AG.32 V.FERRAIONI",ROMA,RM,0100503217,3217
01005,03220,"AG.20 ROMA",ROMA,RM,0100503220,3220
01005,03221,"AG.21 VIA TIBURTINA",ROMA,RM,0100503221,3221
01005,03226,"AG.N.26 ROMA",ROMA,RM,0100503226,3226
01005,03227,"AG.27 ROMA",ROMA,RM,0100503227,3227
01005,03229,"AG.N.29 ROMA",ROMA,RM,0100503229,3229
01005,03235,"AG.N.35 ROMA",ROMA,RM,0100503235,3235
01005,03237,"AG.N.31 ROMA",ROMA,RM,0100503237,3237
01005,03238,"AG.LIDO DI OSTIA",ROMA,RM,0100503238,3238
01005,03255,"AG.N.49 ROMA",ROMA,RM,0100503255,3255
01005,03342,"VIA G.RENI",ROMA,RM,0100503342,3342
01005,03345,"FIL. CORSINI",ROMA,RM,0100503345,3345
01005,03386,AG.ROMA,ROMA,RM,0100503386,3386
01005,03393,"AG.MIN.BENI CULTURAL",ROMA,RM,0100503393,3393
01005,03600,"FIL. L'AQUILA",L'AQUILA,AQ,0100503600,3600
01005,04005,"AG.BARI V.JACINI 34",BARI,BA,0100504005,4005
01005,04400,AG.CATANZARO,CATANZARO,CZ,0100504400,4400
01005,04801,"AGENZIA N.1 P.ITALIA",PIRRI,CA,0100504801,4801
01005,10400,AG.ALESSANDRIA,ALESSANDRIA,AL,0100510400,0400
01005,11500,"SEDE DI MANTOVA",MANTOVA,MN,0100511500,1500
01005,11708,"AG.N.7 VERONA",VERONA,VR,0100511708,1708
01005,11800,AG.VICENZA,VICENZA,VI,0100511800,1800
01005,12104,"PADOVA AG.4",PADOVA,PD,0100512104,2104
01005,12200,AG.ROVIGO,ROVIGO,RO,0100512200,2200
01005,12300,AG.UDINE,UDINE,UD,0100512300,2300
01005,12600,PIACENZA,PIACENZA,PC,0100512600,2600
01005,12701,"PARMA AGENZIA N.1",PARMA,PR,0100512701,2701
01005,12800,"SEDE REGGIO EMILIA","REGGIO EMILIA",RE,0100512800,2800
01005,12801,"RE AGENZIA N.1","REGGIO EMILIA",RE,0100512801,2801
01005,12900,AG.MODENA,MODENA,MO,0100512900,2900
01005,12901,"AG.1 MODENA",MODENA,MO,0100512901,2901
01005,12902,"AGENZIA 2 - MO EST",MODENA,MO,0100512902,2902
01005,13000,FIL.FERRARA,FERRARA,FE,0100513000,3000
01005,13001,"AG.VIA IV NOVEMBRE",FERRARA,FE,0100513001,3001
01005,13002,"FERRARA AG.N.2",FERRARA,FE,0100513002,3002
01005,13100,"AG.SEDE RAVENNA",RAVENNA,RA,0100513100,3100
01005,13196,"AG.N.1 RAVENNA",RAVENNA,RA,0100513196,3196
01005,13200,"FIL. DI FORLI'",FORLI',FC,0100513200,3200
01005,13201,"AGN.1 FORLI'",FORLI',FC,0100513201,3201
01005,13701,"LUCCA AG.N.1",LUCCA,LU,0100513701,3701
01005,14000,AG.PISA,PISA,PI,0100514000,4000
01005,15201,"AG.1 VIA BARATTA 78",SALERNO,SA,0100515201,5201
01005,15300,FIL.TERAMO,TERAMO,TE,0100515300,5300
